case_folder,domain,sample_id,instruction_id,difficulty
case_001,domain_academic_domain_architecture,sample_0005,inst_easy_001,Easy
case_002,domain_academic_domain_architecture,sample_0005,inst_hard_003,Hard
case_003,domain_academic_domain_architecture,sample_0005,inst_medium_002,Medium
case_004,domain_academic_domain_architecture,sample_0031,inst_easy_001,Easy
case_005,domain_academic_domain_architecture,sample_0031,inst_hard_003,Hard
case_006,domain_academic_domain_architecture,sample_0031,inst_medium_002,Medium
case_007,domain_academic_domain_architecture,sample_0043,inst_easy_001,Easy
case_008,domain_academic_domain_architecture,sample_0043,inst_hard_003,Hard
case_009,domain_academic_domain_architecture,sample_0043,inst_medium_002,Medium
case_010,domain_academic_domain_architecture,sample_0057,inst_easy_001,Easy
case_011,domain_academic_domain_architecture,sample_0057,inst_hard_003,Hard
case_012,domain_academic_domain_architecture,sample_0057,inst_medium_002,Medium
case_013,domain_academic_domain_architecture,sample_0196,inst_easy_001,Easy
case_014,domain_academic_domain_architecture,sample_0196,inst_hard_003,Hard
case_015,domain_academic_domain_architecture,sample_0196,inst_medium_002,Medium
case_016,domain_academic_domain_neural,sample_0020,inst_easy_001,Easy
case_017,domain_academic_domain_neural,sample_0020,inst_hard_003,Hard
case_018,domain_academic_domain_neural,sample_0020,inst_medium_002,Medium
case_019,domain_academic_domain_neural,sample_0026,inst_easy_001,Easy
case_020,domain_academic_domain_neural,sample_0026,inst_hard_003,Hard
case_021,domain_academic_domain_neural,sample_0026,inst_medium_002,Medium
case_022,domain_academic_domain_neural,sample_0029,inst_easy_001,Easy
case_023,domain_academic_domain_neural,sample_0029,inst_hard_003,Hard
case_024,domain_academic_domain_neural,sample_0029,inst_medium_002,Medium
case_025,domain_business_domain_product,sample_0007,inst_easy_001,Easy
case_026,domain_business_domain_product,sample_0007,inst_hard_003,Hard
case_027,domain_business_domain_product,sample_0007,inst_medium_002,Medium
case_028,domain_business_domain_product,sample_0016,inst_easy_001,Easy
